YEAR;QUARTER;MONTH;DAY_OF_MONTH;DAY_OF_WEEK;UNIQUE_CARRIER;TAIL_NUM;FL_NUM;ORIGIN;DEST;CRS_DEP_TIME;DEP_TIME;DEP_DELAY;CRS_ARR_TIME;ARR_TIME;ARR_DELAY;DEP_DEL15;ARR_DEL15;CANCELLED;DIVERTED;CRS_ELAPSED_TIME;ACTUAL_ELAPSED_TIME;DISTANCE
2018;1;3;31;6;RU;VPBIM;RU101 ;SHJ;SHJ;1300;1314;14;1430;1446;16;0;1;0;0;90;92;690
2018;2;5;21;1;RU;VPBIG;RU102 ;DFW;AMS;0700;0731;31;1610;1617;7;1;0;0;0;550;526;4217
2018;3;7;30;1;RU;VPBIG;RU102 ;DFW;AMS;0700;0638;-22;1610;1530;-40;0;0;0;0;550;532;4217
2018;4;10;29;1;RU;VPBIG;RU102 ;DFW;AMS;0700;0626;-34;1620;1542;-38;0;0;0;0;560;556;4293
2017;4;10;9;1;RU;VPBIG;RU102 ;DFW;LGG;0700;0853;113;1605;1718;73;1;1;0;0;545;505;4178
2019;1;3;25;1;RU;VPBIK;RU102 ;DFW;AMS;0700;0736;36;1620;1716;56;1;1;0;0;560;580;4293
2018;3;7;9;1;RU;VPBIM;RU102 ;DFW;AMS;0640;0439;-121;1550;1356;-114;0;0;0;0;550;557;4217
2018;3;8;13;1;RU;VPBIM;RU102 ;DFW;AMS;0700;0548;-72;1610;1540;-30;0;0;0;0;550;592;4217
2018;3;9;3;1;RU;VPBIM;RU102 ;DFW;AMS;0640;0557;-43;1550;1457;-53;0;0;0;0;550;540;4217
2018;4;12;17;1;RU;VPBIM;RU102 ;DFW;AMS;0700;0649;-11;1620;1619;-1;0;0;0;0;560;570;4293
2018;1;3;12;1;RU;VQBWW;RU102 ;DFW;AMS;0820;0801;-19;1730;1752;22;0;1;0;0;550;591;4217
2019;1;3;4;1;RU;VQBWW;RU102 ;DFW;AMS;0725;0857;92;1645;1802;77;1;1;0;0;560;545;4293
2018;4;11;19;1;RU;VQBIA;RU102 ;DFW;AMS;0700;1210;310;1620;2140;320;1;1;0;0;560;570;4293
2017;1;1;9;1;RU;VPBBL;RU102 ;DFW;AMS;0710;0657;-13;1610;1553;-17;0;0;0;0;540;536;4140
2017;1;3;13;1;RU;VPBBL;RU102 ;DFW;AMS;0710;0710;0;1610;1630;20;0;1;0;0;540;560;4140
2017;2;4;24;1;RU;VPBBL;RU102 ;DFW;AMS;0700;0923;143;1620;1849;149;1;1;0;0;560;566;4293
2017;3;7;3;1;RU;VPBBL;RU102 ;DFW;AMS;0700;0536;-84;1620;1443;-97;0;0;0;0;560;547;4293
2017;3;8;28;1;RU;VPBBL;RU102 ;DFW;AMS;0700;0642;-18;1620;1537;-43;0;0;0;0;560;535;4293
2017;3;9;4;1;RU;VPBBL;RU102 ;DFW;AMS;0700;0810;70;1620;1720;60;1;1;0;0;560;550;4293
2018;2;4;23;1;RU;VPBBL;RU102 ;DFW;AMS;0645;0544;-61;1555;1519;-36;0;0;0;0;550;575;4217
2018;4;11;12;1;RU;VPBBL;RU102 ;DFW;AMS;0700;1031;211;1620;1911;171;1;1;0;0;560;520;4293
2017;4;11;6;1;RU;VPBBL;RU102 ;DFW;LGG;0755;0716;-39;1700;1603;-57;0;0;0;0;545;527;4178
2017;4;11;27;1;RU;VPBBL;RU102 ;DFW;LGG;0755;0710;-45;1700;1635;-25;0;0;0;0;545;565;4178
2019;1;1;28;1;RU;VPBBL;RU102 ;DFW;LGG;0700;0851;111;1620;1736;76;1;1;0;0;560;525;4293
2017;2;5;1;1;RU;VPBBP;RU102 ;DFW;AMS;0700;0806;66;1620;1724;64;1;1;0;0;560;558;4293
2017;2;5;22;1;RU;VPBBP;RU102 ;DFW;AMS;0700;0545;-75;1620;1455;-85;0;0;0;0;560;550;4293
2017;2;6;19;1;RU;VPBBP;RU102 ;DFW;AMS;0700;0634;-26;1620;1508;-72;0;0;0;0;560;514;4293
2017;3;7;17;1;RU;VPBBP;RU102 ;DFW;AMS;0700;0714;14;1620;1620;0;0;0;0;0;560;546;4293
2017;4;12;4;1;RU;VPBBP;RU102 ;DFW;AMS;0755;0650;-65;1700;1604;-56;0;0;0;0;545;554;4178
2018;1;1;8;1;RU;VPBBP;RU102 ;DFW;AMS;0755;0810;15;1700;1731;31;0;1;0;0;545;561;4178
2018;1;1;29;1;RU;VPBBP;RU102 ;DFW;AMS;0755;0655;-60;1700;1540;-80;0;0;0;0;545;525;4178
2018;2;4;9;1;RU;VPBBP;RU102 ;DFW;AMS;0645;0945;180;1555;1843;168;1;1;0;0;550;538;4217
2018;3;8;6;1;RU;VPBBP;RU102 ;DFW;AMS;0700;0855;1555;1610;1825;1575;1;1;0;0;550;570;4217
2018;3;8;20;1;RU;VPBBP;RU102 ;DFW;AMS;0700;0601;-59;1610;1429;-101;0;0;0;0;550;508;4217
2018;4;11;26;1;RU;VPBBP;RU102 ;DFW;AMS;0700;0800;60;1620;1709;49;1;1;0;0;560;549;4293
2019;1;1;14;1;RU;VPBBP;RU102 ;DFW;LGG;0700;1854;714;1620;0413;713;1;1;0;0;560;559;4293
2019;1;1;21;1;RU;VPBBP;RU102 ;DFW;LGG;0700;0701;1;1620;1558;-22;0;0;0;0;560;537;4293
2018;1;1;15;1;RU;VPBBY;RU102 ;DFW;AMS;0755;0642;-73;1700;1527;-93;0;0;0;0;545;525;4178
2018;2;6;4;1;RU;VPBBY;RU102 ;DFW;AMS;0700;0653;-7;1610;1629;19;0;1;0;0;550;576;4217
2018;4;11;5;1;RU;VPBBY;RU102 ;DFW;AMS;0700;0626;-34;1620;1546;-34;0;0;0;0;560;560;4293
2019;1;3;18;1;RU;VPBBY;RU102 ;DFW;AMS;0700;0742;42;1620;1717;57;1;1;0;0;560;575;4293
2017;4;10;30;1;RU;VPBBY;RU102 ;DFW;LGG;0755;0625;-90;1700;1550;-70;0;0;0;0;545;565;4178
2017;4;11;13;1;RU;VPBBY;RU102 ;DFW;LGG;0755;0620;-95;1700;1535;-85;0;0;0;0;545;555;4178
2017;4;11;20;1;RU;VPBBY;RU102 ;DFW;LGG;0755;1040;165;1700;2000;180;1;1;0;0;545;560;4178
2019;1;2;18;1;RU;VPBBY;RU102 ;DFW;LGG;0605;0630;25;1525;1513;-12;1;0;0;0;560;523;4293
2019;1;3;11;1;RU;VPBJS;RU102 ;DFW;AMS;0700;0705;5;1620;1557;-23;0;0;0;0;560;532;4293
2017;1;3;27;1;RU;VQBFE;RU102 ;DFW;AMS;0700;0811;71;1620;1756;96;1;1;0;0;560;585;4293
2017;2;5;8;1;RU;VQBFE;RU102 ;DFW;AMS;0700;0630;-30;1620;1620;0;0;0;0;0;560;590;4293
2017;3;7;10;1;RU;VQBFE;RU102 ;DFW;AMS;0700;0655;-5;1620;1550;-30;0;0;0;0;560;535;4293
2017;3;7;31;1;RU;VQBFE;RU102 ;DFW;AMS;0700;0555;-65;1620;1515;-65;0;0;0;0;560;560;4293
2018;1;2;26;1;RU;VQBFE;RU102 ;DFW;AMS;0820;0706;-74;1730;1626;-64;0;0;0;0;550;560;4217
