YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,TAIL_NUM,FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,DEP_DEL15,ARR_DEL15,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DISTANCE
2017,2,6,19,1,RU,VPBIM,RU113 ,SVO,FRA,1420,1406,-14,1745,1726,-19,0,0,0,0,205,200,1572
2019,1,2,18,1,RU,VQBWW,RU113 ,SVO,FRA,1455,1442,-13,1830,1754,-36,0,0,0,0,215,192,1648
2017,2,6,5,1,RU,VQBFU,RU113 ,SVO,FRA,1215,1403,108,1540,1735,115,1,1,0,0,205,212,1572
2017,2,6,26,1,RU,VQBVR,RU113 ,SVO,FRA,1300,1320,20,1625,1659,34,1,1,0,0,205,219,1572
2018,1,1,1,1,RU,VPBIM,RU113R,SVO,AMS,1220,1155,-25,1600,1545,-15,0,0,0,0,220,230,1687
2018,1,1,1,1,RU,VPBIM,RU114R,AMS,SVO,1830,1814,-16,2150,2115,-35,0,0,0,0,200,181,1533
2017,3,7,12,3,RU,VQBUU,RU115 ,SVO,FRA,1230,945,-1605,1555,1300,-1615,0,0,0,0,205,195,1572
2017,3,7,31,1,RU,VQBUU,RU115 ,SVO,FRA,1420,1420,0,1745,1755,10,0,0,0,0,205,215,1572
2018,1,3,6,2,RU,VQBUU,RU115 ,SVO,FRA,100,58,-2,415,503,48,0,1,0,0,195,245,1495
2017,3,7,3,1,RU,VQBIA,RU115 ,SVO,FRA,1300,1454,114,1625,1759,94,1,1,0,0,205,185,1572
2017,1,1,30,1,RU,VQBGZ,RU115 ,SVO,FRA,1350,1350,0,1715,1724,9,0,0,0,0,205,214,1572
2017,4,10,2,1,RU,VQBLQ,RU115 ,SVO,FRA,1400,1359,-1,1725,1706,-19,0,0,0,0,205,187,1572
2017,3,7,25,2,RU,VQBLR,RU115 ,SVO,FRA,0,2353,-7,325,331,6,0,0,0,0,205,218,1572
