Flight#,TAIL_NUM,ORIGIN,DEST,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,CRS_DEP_TIME,ARR_DEL15
RU113 ,VPBIG,DME,LGG,8,13,1,1945,0
RU113 ,VPBIG,DME,LGG,9,3,1,2015,0
RU113 ,VPBIM,SVO,FRA,6,19,1,1420,0
RU113 ,VQBWW,DME,LGG,11,5,1,1200,1
RU113 ,VQBWW,SVO,FRA,2,18,1,1455,0
RU113 ,VQBWW,SVO,LGG,8,20,1,2015,0
RU113 ,VQBHE,DME,LGG,10,1,1,1630,0
RU113 ,VQBHE,DME,LGG,11,26,1,1610,1
RU113 ,VPBBP,SVO,LGG,8,27,1,2015,0
RU113 ,VPBBP,SVO,LGG,2,25,1,1510,1
RU113 ,VQBFU,DME,LGG,11,12,1,1610,1
RU113 ,VQBFU,SVO,FRA,6,5,1,1215,1
RU113 ,VQBGZ,DME,LGG,10,29,1,2010,0
RU113 ,VQBVR,DME,LGG,8,6,1,2015,0
RU113 ,VQBVR,SVO,FRA,6,26,1,1300,1
RU113R,VPBIM,SVO,AMS,1,1,1,1220,0
RU114R,VPBIM,AMS,SVO,1,1,1,1830,0
RU115 ,VQBUU,SVO,FRA,7,12,3,1230,0
RU115 ,VQBUU,SVO,FRA,7,31,1,1420,0
RU115 ,VQBUU,SVO,FRA,3,6,2,0100,1
RU115 ,VQBIA,SVO,FRA,7,3,1,1300,1
RU115 ,VQBGZ,SVO,FRA,1,30,1,1350,0
RU115 ,VQBLQ,SVO,FRA,10,2,1,1400,0
RU115 ,VQBLR,SVO,FRA,7,25,2,0000,0
RU115 ,VQBRH,SVO,FRA,10,9,1,1400,0
RU117 ,VPBIK,SVO,FRA,6,26,1,1210,0
RU117 ,VPBIK,SVO,FRA,8,28,1,1210,0
RU117 ,VPBIK,SVO,FRA,9,18,1,1210,0
RU117 ,VPBIK,SVO,FRA,10,30,1,1320,0
RU117 ,VPBIM,SVO,FRA,2,13,1,1300,1
RU117 ,VPBIM,SVO,FRA,9,25,1,1210,0
RU117 ,VQBWW,SVO,FRA,8,7,1,1210,0
RU117 ,VQBWW,SVO,FRA,10,23,1,1210,0
RU117 ,VQBHE,SVO,FRA,10,2,1,1210,0
RU117 ,VQBIA,SVO,FRA,3,27,1,1210,0
RU117 ,VQBIA,SVO,FRA,7,31,1,1210,0
RU117 ,VQBIA,SVO,FRA,10,16,1,1210,0
RU117 ,VPBBL,SVO,FRA,5,8,1,1210,0
RU117 ,VPBBL,SVO,FRA,5,22,1,1210,0
RU117 ,VPBBL,SVO,FRA,7,10,1,1210,0
RU117 ,VQBFE,SVO,FRA,2,20,1,1300,0
RU117 ,VQBFE,SVO,FRA,7,3,1,1210,0
RU117 ,VQBFE,SVO,FRA,8,14,1,1210,0
RU117 ,VQBFU,SVO,FRA,3,13,1,1300,0
RU117 ,VQBGZ,SVO,FRA,1,2,1,1300,0
RU117 ,VQBLQ,SVO,FRA,1,9,1,1300,1
RU117 ,VQBLQ,SVO,FRA,1,23,1,1300,0
RU117 ,VQBLQ,SVO,FRA,4,24,1,1210,0
RU117 ,VQBLQ,SVO,FRA,6,19,1,1210,0
RU117 ,VQBLQ,SVO,FRA,7,17,1,1210,0
RU117 ,VQBLQ,SVO,FRA,7,24,1,1210,1
RU117 ,VQBLR,SVO,FRA,8,21,1,1210,0
RU117 ,VQBVR,SVO,FRA,1,16,1,1300,0
RU117 ,VQBVR,SVO,FRA,3,6,1,1300,1
RU117 ,VQBVR,SVO,FRA,10,9,1,1210,0
RU124 ,VPBBL,LGG,SVO,11,5,1,1355,1
RU124 ,VPBBP,LGG,SVO,9,3,1,0920,0
RU124 ,VPBBY,LGG,DME,12,31,1,1530,0
RU124 ,VQBFE,LGG,SVO,12,11,1,0950,1
RU124 ,VQBFU,LGG,SVO,3,11,1,1530,1
RU124 ,VQBGZ,LGG,SVO,1,14,1,1500,1
RU124 ,VQBLQ,LGG,SVO,1,28,1,1155,1
RU124 ,VQBLR,LGG,SVO,4,2,1,1530,1
RU1241 ,VQBWW,AMS,FRA,8,21,1,1650,0
RU124R,VPBIG,AMS,SVO,1,9,1,1255,1
RU124R,VPBIG,AMS,SVO,1,23,1,1915,0
RU124R,VQBRJ,AMS,SVO,6,5,1,1530,1
RU125 ,VPBIG,DME,AMS,10,15,1,1410,0
RU125 ,VPBIK,SVO,AMS,10,1,1,0125,1
RU125 ,VPBIM,SVO,AMS,9,17,1,1000,1
RU125 ,VQBUU,SVO,AMS,9,24,1,0930,0
RU125 ,VQBHE,DME,AMS,8,27,1,0130,0
RU125 ,VQBIA,DME,AMS,10,22,1,1410,1
RU125 ,VPBBL,SVO,AMS,1,29,1,1450,1
RU125 ,VPBBY,SVO,AMS,7,2,1,0210,0
RU125 ,VQBFE,DME,AMS,9,10,1,1000,0
RU125 ,VQBFU,SVO,AMS,7,9,1,1225,1
RU125 ,VQBFU,SVO,AMS,8,6,1,0130,1
RU125 ,VQBLR,SVO,AMS,8,20,1,0130,0
RU125 ,VQBRH,SVO,AMS,6,12,1,1010,0
RU125 ,VQBRJ,SVO,AMS,6,25,1,0345,0
RU126 ,VPBIG,AMS,DME,6,19,1,1630,0
RU126 ,VPBIG,AMS,DME,10,16,1,1940,1
RU126 ,VPBIG,AMS,SVO,1,15,1,1940,0
